Time,Trial,State,PositionX,PositionY
0.0173115,0,State_Break,-0.0007716572,-0.002127321
0.033129,0,State_Break,-0.0002097851,-0.008531321
0.0502089,0,State_Break,-0.0002097851,-0.008531321
0.0662618,0,State_Break,-0.0002097851,-0.008531321
0.08312219,0,State_Break,-0.001895401,-0.03083871
0.0993949,0,State_Break,-0.001895401,-0.03083871
0.1160333,0,State_Break,-0.001895401,-0.03083871
0.1329848,0,State_Break,0.007848605,-0.09565063
0.1490956,0,State_Break,0.007848605,-0.09565063
0.1658976,0,State_Break,0.007848605,-0.09565063
0.1828527,0,State_Break,0.07829974,-0.1158467
0.1988357,0,State_Break,0.07829974,-0.1158467
0.215767,0,State_Break,0.07829974,-0.1158467
0.231928,0,State_Break,0.07829974,-0.1158467
0.2484965,0,State_Break,0.2113314,-0.09318721
0.2656285,0,State_Break,0.2113314,-0.09318721
0.2816282,0,State_Break,0.221825,-0.04244999
0.2985799,0,State_Break,0.221825,-0.04244999
0.3154973,0,State_Break,0.221825,-0.04244999
0.3314556,0,State_Break,0.221825,-0.04244999
0.3484151,0,State_Break,0.2193883,0.00547285
0.3644642,0,State_Break,0.2193883,0.00547285
0.38132,0,State_Break,0.2186387,0.02018007
0.3975965,0,State_Break,0.2186387,0.02018007
0.4142493,0,State_Break,0.2186387,0.02018007
0.4307297,0,State_Break,0.2186387,0.02018007
0.4472986,0,State_Break,0.2160156,0.02151729
0.464112,0,State_Break,0.2160156,0.02151729
0.4804364,0,State_Break,0.2147041,0.02151729
0.4979694,0,State_Break,0.2147041,0.02151729
0.5149769,0,State_Break,0.2147041,0.02151729
0.5311043,0,State_Break,0.2088961,0.02151729
0.5479302,0,State_Break,0.2088961,0.02151729
0.5645545,0,State_Break,0.2088961,0.02151729
0.5811501,0,State_Break,0.2051493,0.02137624
0.5978268,0,State_Break,0.2051493,0.02137624
0.6147599,0,State_Break,0.2051493,0.02137624
0.6308311,0,State_Break,0.2049616,0.02109524
0.6482081,0,State_Break,0.2049616,0.02109524
0.6647841,0,State_Break,0.2049616,0.02109524
0.6813517,0,State_Break,0.2049616,0.02116521
0.6985039,0,State_Break,0.2049616,0.02116521
0.7144815,0,State_Break,0.2049616,0.02116521
0.7314024,0,State_Break,0.2043997,0.02116521
0.7476133,0,State_Break,0.2043997,0.02116521
0.764175,0,State_Break,0.2043997,0.02116521
0.7812633,0,State_Break,0.2040256,0.02116521
0.7973118,0,State_Break,0.2040256,0.02116521
0.8142269,0,State_Break,0.2040256,0.02116521
0.8313,0,State_Break,0.2040256,0.02116521
0.8499652,0,State_Break,0.2040256,0.02123574
0.8665429,0,State_Break,0.2040256,0.02123574
0.883994,0,State_Break,0.2040256,0.02130626
0.8999534,0,State_Break,0.2040256,0.02130626
0.9168987,0,State_Break,0.2040256,0.02130626
0.932863,0,State_Break,0.2040256,0.02130626
0.949819,0,State_Break,0.2038378,0.02130626
0.9659396,0,State_Break,0.2038378,0.02130626
0.9825008,0,State_Break,0.2034622,0.02116521
0.9991931,0,State_Break,0.2034622,0.02116521
1.016142,0,State_Break,0.2034622,0.02116521
1.032203,0,State_Break,0.2012133,0.01982854
1.049059,0,State_Break,0.2012133,0.01982854
1.065334,0,State_Break,0.2012133,0.01982854
1.082477,0,State_Break,0.201027,0.01835082
1.099433,0,State_Break,0.201027,0.01835082
1.11539,0,State_Break,0.201027,0.01835082
1.131602,0,State_Break,0.2008392,0.01046911
1.14817,0,State_Break,0.2008392,0.01046911
1.164734,0,State_Break,0.2008392,0.01046911
1.181722,0,State_Break,0.2008392,0.0001950457
1.197868,0,State_Break,0.2008392,0.0001950457
1.214643,0,State_Break,0.2008392,0.0001950457
1.231591,0,State_Break,0.2008392,0.0001950457
1.247567,0,State_Break,0.2014011,-0.008742345
1.264134,0,State_Break,0.2014011,-0.008742345
1.280701,0,State_Break,0.2029004,-0.008601295
1.297414,0,State_Break,0.2029004,-0.008601295
1.314368,0,State_Break,0.2029004,-0.008601295
1.3304,0,State_Break,0.2029004,-0.008601295
1.347293,0,State_Break,0.2092702,-0.003394016
1.36424,0,State_Break,0.2092702,-0.003394016
1.380201,0,State_Break,0.2090824,0.0113132
1.396671,0,State_Break,0.2090824,0.0113132
1.41851,0,State_Break,0.2090824,0.0113132
1.435106,0,State_Break,0.2012133,0.02658407
1.454855,0,State_Break,0.2012133,0.02658407
1.47203,0,State_Break,0.1097763,0.02623254
1.487991,0,State_Break,0.1097763,0.02623254
1.504863,0,State_Break,0.1097763,0.02623254
1.521819,0,State_Break,0.1097763,0.02623254
1.53778,0,State_Break,-0.07347028,0.02390963
1.554734,0,State_Break,-0.07347028,0.02390963
1.570822,0,State_Break,-0.07347028,0.02390963
1.587636,0,State_Break,-0.07309619,0.02299501
1.603956,0,State_Break,-0.07309619,0.02299501
1.620551,0,State_Break,-0.07309619,0.02299501
1.637523,0,State_Break,-0.04667646,0.02109524
1.653656,0,State_Break,-0.04667646,0.02109524
1.670419,0,State_Break,-0.04667646,0.02109524
1.686789,0,State_Break,-0.03599649,0.02130626
1.70336,0,State_Break,-0.03599649,0.02130626
1.719922,0,State_Break,-0.03599649,0.02130626
1.737239,0,State_Break,-0.03918141,0.02137624
1.753198,0,State_Break,-0.03918141,0.02137624
1.770151,0,State_Break,-0.03918141,0.02137624
1.78619,0,State_Break,-0.04199224,0.02137624
1.803065,0,State_Break,-0.04199224,0.02137624
1.819322,0,State_Break,-0.04199224,0.02137624
1.835997,0,State_Break,-0.04199224,0.02130626
1.852457,0,State_Break,-0.04199224,0.02130626
1.869024,0,State_Break,-0.04199224,0.02130626
1.885589,0,State_Break,-0.04199224,0.02123574
1.902157,0,State_Break,-0.04199224,0.02123574
1.918761,0,State_Break,-0.04199224,0.02123574
1.935707,0,State_Break,-0.04180446,0.02123574
1.951856,0,State_Break,-0.04180446,0.02123574
1.968657,0,State_Break,-0.04180446,0.02123574
1.984994,0,State_Break,-0.04180446,0.02123574
2.001556,0,State_Break,-0.04180446,0.02123574
2.01865,0,State_CircleShowing,-0.04180446,0.02123574
2.03469,0,State_CircleShowing,-0.04180446,0.02130626
2.051462,0,State_CircleShowing,-0.04180446,0.02130626
2.067823,0,State_CircleShowing,-0.04180446,0.02130626
2.084394,0,State_CircleShowing,-0.04180446,0.02130626
2.102324,0,State_CircleShowing,-0.04180446,0.02130626
2.119314,0,State_CircleShowing,-0.04180446,0.02130626
2.136233,0,State_CircleShowing,-0.04180446,0.02130626
2.15245,0,State_CircleShowing,-0.04180446,0.02130626
2.169137,0,State_CircleShowing,-0.04180446,0.02130626
2.192341,0,State_CircleShowing,-0.04180446,0.02130626
2.209353,0,State_CircleShowing,-0.04180446,0.02130626
2.226331,0,State_CircleShowing,-0.04180446,0.02130626
2.242264,0,State_CircleShowing,-0.04180446,0.02130626
2.259227,0,State_CircleShowing,-0.04180446,0.02130626
2.276162,0,State_CircleShowing,-0.04180446,0.02130626
